"gene","logFC_106839","logFC_299945","avg_logFC","SE_106839","SE_299945","P_106839","P_299945","FDR_106839","FDR_299945","sig_106839","sig_299945","direction_consistent","category"
"GPR37L1",-0.0517647848388214,-1.40827510585119,-0.730019945345004,0.115821871445735,0.456221797247441,0.665486447749521,0.011116912744714,0.734251635374308,0.0170720393929592,FALSE,TRUE,TRUE,"Moderate"
"RRP12",0.774479991250158,0.685462363001573,0.729971177125865,0.0842169789397654,0.0536889112289348,7.16722983223989e-06,1.19771279176222e-07,0.000112942736436953,8.74029091924311e-07,TRUE,TRUE,TRUE,"Moderate"
"RSPO3",0.00494108600939436,-1.46457024845872,-0.729814581224662,0.20040944868181,0.115292278707678,0.980868323890811,1.25799833347089e-07,0.985318299572264,9.0468358784821e-07,FALSE,TRUE,FALSE,"Moderate"
"ADSS",0.685738253155091,0.772886501449057,0.729312377302074,0.0899281101824739,0.0747984406937045,3.24480120583529e-05,9.16274786417234e-07,0.000311308521617995,4.45637922133792e-06,TRUE,TRUE,TRUE,"Moderate"
"GRID1",-0.0637202333018787,1.52222785745732,0.729253812077719,0.121475500335226,0.207934503140928,0.612571211653597,2.15017183205118e-05,0.689060718563284,6.34225231758295e-05,FALSE,TRUE,FALSE,"Moderate"
"CD99L2",0.562721663390317,0.895479879414886,0.729100771402601,0.0639334123945363,0.0777762676844744,1.02588558748358e-05,3.25997051713859e-07,0.000143223427868485,1.89429502287321e-06,TRUE,TRUE,TRUE,"Moderate"
"UTP6",0.577608438554055,0.880579836171779,0.729094137362917,0.0748352275331303,0.0574550071058791,2.94809468469718e-05,1.98703223013426e-08,0.000294318812015843,2.23216143983306e-07,TRUE,TRUE,TRUE,"Moderate"
"PPP1R3E",0.582902192780357,0.8747730999266,0.728837646353478,0.0983419102695734,0.0589060069691186,0.000221686243016032,2.71559989813151e-08,0.00126287613320034,2.78963544275316e-07,TRUE,TRUE,TRUE,"Moderate"
"DFFA",0.682286370839452,0.774312030447382,0.728299200643417,0.0879649227814358,0.0915935959112732,2.83569514070573e-05,5.92959751969939e-06,0.000286773304253581,2.09101565510271e-05,TRUE,TRUE,TRUE,"Moderate"
"KLHDC8B",0.107221111993912,1.34923307046764,0.728227091230774,0.215975277270617,0.328398285159452,0.631478372085866,0.00198470012031875,0.704489395747876,0.00357739220487617,FALSE,TRUE,TRUE,"Moderate"
"ACTG2",-0.482105655323066,-0.973764267822444,-0.727934961572755,0.146911391778644,0.148419040694124,0.00950813834121345,5.53554827252544e-05,0.0237305822968544,0.000145232626021294,TRUE,TRUE,TRUE,"Moderate"
"SLC12A7",-0.626344038633461,-0.829380255859794,-0.727862147246628,0.164834938739133,0.0685189106893195,0.00422048828280068,2.01067337644867e-07,0.0123174430841085,1.29242213823064e-06,TRUE,TRUE,TRUE,"Moderate"
"DAW1",-0.468251057245219,-0.986378736498884,-0.727314896872051,0.129843095052328,0.223454687442129,0.00569463386251083,0.00121333915822818,0.0157148735057941,0.00227880260654731,TRUE,TRUE,TRUE,"Moderate"
"GPX3",-0.412268584650917,-1.04126893073143,-0.726768757691173,0.104323575385095,0.140029979624695,0.00334715060018742,1.87389436755603e-05,0.0102522479614041,5.6512355586439e-05,TRUE,TRUE,TRUE,"Moderate"
"FASTKD2",0.485989823399293,0.967114991355283,0.726552407377288,0.0992352301881352,0.0616854330850415,0.000851392488637408,1.58654421806425e-08,0.00353061429245695,1.90702615011322e-07,TRUE,TRUE,TRUE,"Moderate"
"GNAI2",0.775559821190105,0.676918024253035,0.72623892272157,0.0696553323399906,0.059395942560485,1.45642562941204e-06,3.59599694215806e-07,4.36114848277494e-05,2.04161391844251e-06,TRUE,TRUE,TRUE,"Moderate"
"PGM1",-0.0727655451523823,-1.37932018888443,-0.726042867018406,0.0670537273986159,0.0577631324505577,0.306058822083771,2.31423482577104e-10,0.39962429065997,8.39309130346446e-09,FALSE,TRUE,TRUE,"Moderate"
