"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PPIL3",1.0295,4.919,6.85014548016863,"1.736e-05","5.848e-05",2.69
"SRPK2",0.7161,5.8958,6.86390940466823,"1.702e-05","5.755e-05",2.68
"NSUN6",0.6995,4.2481,6.82886420984503,"1.790e-05","5.994e-05",2.68
"RBM14",0.5111,6.3912,6.84564677016521,"1.747e-05","5.869e-05",2.68
"FAM126A",-0.4831,6.5579,-6.83833569424644,"1.766e-05","5.921e-05",2.68
"GLB1",-0.7893,6.5161,-6.87533235170892,"1.675e-05","5.685e-05",2.68
"INSIG1",-1.5781,8.7706,-6.98029248132711,"1.444e-05","5.035e-05",2.68
"CEP41",0.5634,4.7106,6.82633115477367,"1.796e-05","6.009e-05",2.68
"CROT",-1.6462,7.6518,-6.93082401273822,"1.548e-05","5.339e-05",2.67
"NHSL1",-0.6153,4.4305,-6.82514991381491,"1.799e-05","6.014e-05",2.67
"TMEM266",0.5066,3.8812,6.81780846339444,"1.818e-05","6.063e-05",2.67
"GINM1",-1.3735,6.9799,-6.90769339946563,"1.600e-05","5.472e-05",2.67
"LRRC28",0.4461,5.4937,6.81815965042161,"1.817e-05","6.063e-05",2.67
"PLPP5",0.7909,6.664,6.91219692943155,"1.590e-05","5.442e-05",2.66
"LRP11",0.5137,5.9292,6.8690849771192,"1.690e-05","5.729e-05",2.66
"CDH15",-0.8284,3.4028,-6.797270223083,"1.872e-05","6.209e-05",2.65
"MMP11",1.4797,0.8262,6.39379939460101,"3.372e-05","1.017e-04",2.65
"gga-mir-221",-2.6904,1.1835,-6.40206766944647,"3.330e-05","1.007e-04",2.65
"FAM3C",-0.4055,6.8666,-6.86832804085973,"1.692e-05","5.733e-05",2.65
"ACVR1",-0.7227,7.7688,-6.89511920895873,"1.629e-05","5.552e-05",2.65
"TECPR2",0.4112,5.0528,6.81097760124043,"1.836e-05","6.110e-05",2.65
"CXCL14",-2.1108,3.1869,-6.53018345377516,"2.757e-05","8.566e-05",2.64
"PAH",-3.0821,7.0093,-6.86589680047347,"1.698e-05","5.746e-05",2.64
