"gene","logFC_106839","logFC_299945","avg_logFC","SE_106839","SE_299945","FDR_106839","FDR_299945","regulation"
"CCNO",1.86402446193553,1.88809323534739,1.87605884864146,0.142626928100753,0.131124974009374,2.26222898622036e-05,3.46199980782956e-07,"UP"
"NCALD",-0.837319834597117,-2.9088242480556,-1.87307204132636,0.0697491250805662,0.104233923745338,3.10570251534828e-05,2.7385789902947e-09,"DOWN"
"SLC24A3",0.636772966898514,3.10574973003205,1.87126134846528,0.156638150971422,0.251568505093788,0.00893728854621228,1.11850729673492e-06,"UP"
"OTOP3",-0.953152924405192,-2.78911093655408,-1.87113193047963,0.139764609404562,0.326186101746745,0.000579520457677943,1.91091366924024e-05,"DOWN"
"CHST11",1.20633824195818,2.53413186392714,1.87023505294266,0.171879340069928,0.291997130117453,0.000492224507708486,1.70351604907235e-05,"UP"
"HOXD13",0.44392648249381,3.29594605757289,1.86993627003335,0.139673691968921,0.419033535214587,0.026946926596368,3.66042064427932e-05,"UP"
"RGS9BP",0.909782708757959,2.82920722098487,1.86949496487141,0.176194032948935,0.102151131941859,0.0026473330438977,2.91441111625736e-09,"UP"
"TPBG",0.580253449596515,3.15090497597952,1.86557921278802,0.0816940877643136,0.24397626132829,0.000462589389254528,8.04432003767585e-07,"UP"
"GRIP1",0.862245297905369,2.86862262782924,1.86543396286731,0.204329592492328,0.275010866443458,0.00744164504461891,4.13695277678363e-06,"UP"
"DCX",-1.19080117349177,-2.53727860351379,-1.86403988850278,0.163111251702966,0.333643137221016,0.000398307389487372,4.75142873179469e-05,"DOWN"
"ARL4C",0.836722615738251,2.88567361375492,1.86119811474658,0.151595822360343,0.136565929922657,0.00183670948776677,2.00950365211175e-08,"UP"
"PHOSPHO1",-0.490678302282211,-3.22775637693574,-1.85921733960898,0.0777467775647291,0.134317611214182,0.000902625011747144,8.18802945466026e-09,"DOWN"
"KRT18",-0.831578400225549,-2.88474178600699,-1.85816009311627,0.090929614935491,0.0785278506891607,0.000116239199052755,5.35607522459618e-10,"DOWN"
"RHOC",-0.929460173696067,-2.77667683106444,-1.85306850238025,0.0963068411290543,0.179924814723244,8.90292691592934e-05,2.12733557772279e-07,"DOWN"
"MASP1",-0.894196531346017,-2.81075520026559,-1.8524758658058,0.15666014388574,0.16667948145636,0.00154638769706921,1.14400123626201e-07,"DOWN"
"STYK1",-0.607935582302061,-3.0960050331606,-1.85197030773133,0.142125919410691,0.31740873219202,0.00696064412919176,6.97011483043421e-06,"DOWN"
"GDF11",0.907953809086219,2.79370111366204,1.85082746137413,0.127132787534341,0.290392206450845,0.000448913201426821,7.68800008481927e-06,"UP"
"PLEKHG1",-1.0027614265685,-2.69847836990678,-1.85061989823764,0.0887582044384751,0.154209515254187,4.08141852534041e-05,8.77523207648785e-08,"DOWN"
"CAPN5",-0.700850052842537,-2.99643413452074,-1.84864209368164,0.106949499602593,0.262987997268206,0.00072777496400295,2.04523266216147e-06,"DOWN"
"SLC2A5",-0.622965343938523,-3.07350640762487,-1.8482358757817,0.0975801604327888,0.246556591400823,0.000847884967234022,1.03899488380664e-06,"DOWN"
"SCN8A",-0.46806121621606,-3.21639336584306,-1.84222729102956,0.162204736736645,0.354031541391502,0.0395707160056453,1.19197496147894e-05,"DOWN"
"MAD2L1BP",1.58199509508989,2.10183509879165,1.84191509694077,0.110554595646319,0.0762067360567352,1.63390990514674e-05,2.98078914420924e-09,"UP"
"CALN1",-0.897407532207672,-2.78598089361884,-1.84169421291326,0.124442000726742,0.258280583321805,0.000424703987163072,3.16686786128366e-06,"DOWN"
"CCNE2",1.4389671461061,2.23822664814277,1.83859689712444,0.0933963678251777,0.0559515116285409,1.19715990401423e-05,3.47190782082213e-10,"UP"
"CORO2A",-0.690900765921098,-2.9861316169757,-1.8385161914484,0.103741840567118,0.303051216413526,0.000663993380092046,6.47254753926072e-06,"DOWN"
"MNX1",0.716560298225068,2.96008773118306,1.83832401470407,0.0916080165079744,0.173317414357505,0.000273798121071697,1.02952040053485e-07,"UP"
"NKX6-2",1.53087324223999,2.14437292915815,1.83762308569907,0.153577223501431,0.132213899234018,7.34190889370761e-05,1.5012701479672e-07,"UP"
"ELAVL4",0.586013648420962,3.08820432326004,1.8371089858405,0.154082598264573,0.280031366044658,0.0122785367686628,2.64332970121051e-06,"UP"
"LIN28B",1.09148918116149,2.5808213268415,1.83615525400149,0.177691594331325,0.293133652840122,0.00104131699973562,1.52671970615551e-05,"UP"
"SYT2",0.630886289183927,3.03907774551702,1.83498201735048,0.143308451955069,0.459639530860754,0.00604527568368064,0.000137102413316316,"UP"
"PLPP1",-0.94095644410283,-2.72543636141536,-1.8331964027591,0.0755004672185686,0.117505235268443,2.68649471936661e-05,1.02956151355814e-08,"DOWN"
"SLC5A9",-0.815040269853638,-2.85105415532548,-1.83304721258956,0.182160011907569,0.882622877161924,0.00558058030840636,0.0136919369234327,"DOWN"
"NEU2",-0.954697974442848,-2.70245349287257,-1.82857573365771,0.128079457977266,0.529468220202141,0.000355752561654624,0.000881947258820309,"DOWN"
"NMB",0.81929523109914,2.83044936973571,1.82487230041742,0.187033762361403,0.323979801463608,0.00619340410678668,1.61748129998973e-05,"UP"
"DHRS3",-0.684229948154073,-2.95407808962983,-1.81915401889195,0.068569303614316,0.0763566616373136,7.34190889370761e-05,4.08054707692963e-10,"DOWN"
"GRK5",-0.894877228582653,-2.73907851877004,-1.81697787367635,0.108968397145098,0.129871879175666,0.000212145659183083,2.03576856053305e-08,"DOWN"
"PENK",1.72851638914525,1.89072242133471,1.80961940523998,0.181689139588094,0.205506922635498,9.47529877704976e-05,1.08826599253042e-05,"UP"
